week_anchor_utc,MCD,SPY,QQQ
2021-08-23,211.71043396,420.81750488,364.94287109
2021-08-30,214.07225037,423.46249390,370.30966187
2021-09-06,214.39492798,416.32192993,365.47653198
2021-09-13,217.36196899,413.86764526,362.79800415
2021-09-20,220.88470459,416.22113037,362.71444702
2021-09-27,217.75636292,407.15429688,349.93835449
2021-10-04,222.03202820,410.54855347,350.89050293
2021-10-11,217.14685059,418.05883789,358.44931030
2021-10-18,213.73167419,424.85662842,363.46264648
2021-10-25,220.10485840,430.60433960,375.13104248
2021-11-01,228.31567383,439.30535889,387.26589966
2021-11-08,224.69427490,438.12399292,383.47683716
2021-11-15,225.84164429,439.64294434,392.50271606
2021-11-22,224.10267639,430.34176636,380.07635498
2021-11-29,224.73217773,425.13793945,372.23583984
2021-12-06,238.82922363,441.37759399,386.69271851
2021-12-13,235.88183594,432.70043945,373.96517944
2021-12-20,239.71253967,442.79647827,386.12625122
2021-12-27,241.62339783,446.89889526,387.03085327
2022-01-03,240.71305847,438.55294800,369.53012085
2022-01-10,232.28546143,437.26391602,369.67608643
2022-01-17,229.47325134,412.10385132,342.12628174
2022-01-24,230.82528687,415.83917236,342.23324585
2022-01-31,234.40362549,422.19036865,348.27432251
2022-02-07,229.98701477,414.43719482,337.62210083
2022-02-14,225.87690735,408.57534790,332.22302246
2022-02-21,224.84034729,411.88739014,336.36718750
2022-02-28,213.72839355,406.63696289,328.12756348
2022-03-07,205.62554932,395.25189209,315.57830811
2022-03-14,216.54713440,419.55664062,341.93164062
2022-03-21,218.95806885,427.26788330,350.01007080
2022-03-28,225.90985107,427.48501587,352.44506836
2022-04-04,227.91288757,422.43542480,340.07519531
2022-04-11,227.05187988,413.20465088,329.63381958
2022-04-18,226.74369812,402.11453247,316.94247437
2022-04-25,225.82829285,388.86294556,305.10827637
2022-05-02,227.29656982,388.24005127,301.21221924
2022-05-09,222.09405518,379.16024780,294.09228516
2022-05-16,212.00630188,367.74920654,281.17678833
2022-05-23,228.28448486,391.93984985,301.06616211
2022-05-30,226.35073853,387.48492432,298.24154663
2022-06-06,216.34376526,367.90966797,281.33273315
